isotope	idnumber	ring	species	subspecies	rn	wp	two	wpp2	wppc	wpt3	wpss	tars	tail	bw	bd	bn	thl	age	moult	ogc	wing	weight	fat	muscle	ringer	time	date	jdate	month	nanjizal	period	condition	pointedness	t3p2	conditiontars
-52.9	95	KPN023	CHIFF	C	N	4.5	8.5	6.7	33.9	11.1	NA	19.7	48	2.3	2.1	6.7	27.7	3	O	4	60	8.5	3	2	RJ	12:40	10/10/2017	13	O	Y	2	8.527	0.0733	74.37	8.10707729
-68.6	42	KPN047	CHIFF	C	N	4.5	9.5	7	32.2	12	NA	18.4	44	2.6	1.9	6.1	27.7	3	O	5	57	6.7	1	2	RJ	08:30	12/10/2017	15	O	Y	2	7.491	0.0877	84	7.568001382
-60.4	39	KPN057	CHIFF	C	N	4.5	8	5.8	36.8	12.9	NA	19.8	50	2.5	2	5.7	26.7	3	O	7	62	7.4	0	1	RJ	09:20	12/10/2017	15	O	Y	2	6.926	0.1145	74.82	6.969933713
-50.8	23	KPN080	CHIFF	C	N	5	9	6.1	35.4	10.8	NA	20.4	48	2.5	2	6.2	27.4	3	O	7	61	8.6	3	1	RJ	10:30	12/10/2017	15	O	Y	2	8.331	0.077	65.88	7.522661956
-66.3	51	KPN441	CHIFF	C	N	5	9	5.6	32	12	NA	18.6	44	NA	NA	NA	26.9	3	O	3	55	NA	5	3	RJ	09:10	26/10/2017	29	O	Y	3	NA	0.1126	67.2	NA
-68.7	82	KPN446	CHIFF	C	N	4.5	8	6.5	36	13.5	NA	20.9	NA	NA	NA	NA	27.4	3	O	4	61	8.2	2	1	RJ	09:30	26/10/2017	29	O	Y	3	7.944	0.1147	87.75	6.755083901
-67	49	KPN455	CHIFF	C	N	4	9.5	7.6	32.8	11.9	NA	18	44	NA	NA	NA	27.3	4	NA	NA	56	7.6	3	1	RJ	10:40	26/10/2017	29	O	Y	3	8.821	0.0767	90.44	9.065062467
-43.2	4	KPN452	CHIFF	C	N	4	7.5	6.5	34.2	10.8	NA	19.6	46	NA	NA	NA	27.8	4	E	NA	60	7.9	1	1	RJ	10:50	26/10/2017	29	O	Y	3	7.925	0.0716	70.2	7.630423916
-70.7	40	KPN463	CHIFF	C	N	3.5	7.5	5.8	35.4	11.5	NA	19.4	46	NA	NA	NA	28	3	O	7	60	8	2	1	RJ	11:50	26/10/2017	29	O	Y	3	8.025	0.095	66.7	7.925893978
-56.5	94	KPN465	CHIFF	C	N	4.5	7.5	6.2	34.4	10.5	NA	19.6	47	NA	NA	NA	26.8	3	O	0	60	7.6	2	1	RJ	12:50	26/10/2017	29	O	Y	3	7.624	0.0716	65.1	7.340660983
-51.3	28	KPN466	CHIFF	C	N	4	7.5	5.5	32.7	10.9	NA	19	44	NA	NA	NA	27.1	3	O	4	57	6.7	2	1	RJ	13:00	26/10/2017	29	O	Y	3	7.491	0.0947	59.95	6.989594463
